,sentence,label
10,کمر درد دارم,"B-cnd,I-cnd,O"
11,سلام . یک متخصص قلب خانم اصفهانی محدوده بزرگمهر برام پیدا کن که فردا بهم نوبت بده و تو مطب نوار قلب بگیره و معطلیش کمتر نیم ساعت باشه و با تامین اجتماعی قرارداد داشته باشه ,"O,O,O,B-srt,B-spy,B-gnd,B-cty,O,B-nhd,O,O,O,O,B-apt,O,O,O,O,O,O,B-cnd,I-cnd,O,O,O,B-wtt,I-wtt,I-wtt,O,O,O,B-inc,I-inc,O,O,O"
12,یک دکتر فوق تخصص مغز و اعصاب مشهدی خانم با ویزیت حضوری و اولین نوبت شنبه صبح می خوام . ,"O,O,B-srt,I-srt,B-spy,O,B-spy,B-cty,B-gnd,O,O,B-vtp,O,O,O,B-apt,I-apt,O,O,O"
13,دست چپم درد میکنه یه خانم دکتر آملی بهم معرفی کن که امروز معاینه ام کنه,"B-cnd,I-cnd,I-cnd,O,O,B-gnd,O,B-cty,O,O,O,O,B-apt,O,O,O"
14,متخصص روماتولوژی با تجربه چند ساله در مشهد برای ویزیت بیمار با نقرس که بیمه تامین اجتماعی هم قبول کند و در هفته جاری وقت داشته باشد پیدا کن,"B-srt,B-spy,B-trt,I-trt,O,O,O,B-cty,O,O,O,O,B-cnd,O,O,B-inc,I-inc,O,O,O,O,O,B-apt,I-apt,O,O,O,O,O"
15,سلام یک متخصص تغذیه بهم که اکثر مراجعه کننده هایش ازش راضی باشن و یک فرد مشهور باشد را در اصفهان بهم معرفی کن,"O,O,B-srt,B-spy,O,O,O,O,O,O,O,B-trt,O,O,O,O,B-trt,O,O,O,B-cty,O,O,O"
16,سلام یک پزشک متخصص تو رشته ورزشی میخوام واسه رفع گودی کمرم .,"O,O,O,B-srt,O,O,B-spy,O,O,B-cnd,I-cnd,I-cnd,O"
17,سلام برای داداشم یک متخصص ارتوپد سمت زند لطفا معرفی کنید حاذق باشه و بیمه حوادث انفرادی قبول کنه و زود نوبت بده,"O,O,O,O,B-srt,B-spy,O,B-nhd,O,O,O,B-trt,O,O,O,B-inc,I-inc,O,O,O,B-apt,O,O"
18,سلام آدرس یک چشم پزشک کاربلد تهرانی سمت چهارراه دانشگاه که برای فردا وقت بده ,"O,O,O,B-spy,I-spy,B-trt,B-cty,O,B-nhd,I-nhd,O,O,B-apt,O,O"
19,یک روانشناس اخلاق مدار برای درمان افسردگی در اصفهان محدوده هزار جریب میخوام,"O,B-spy,B-trt,I-trt,O,B-cnd,I-cnd,O,B-cty,O,B-nhd,I-nhd,O"
20,سلام چشم پزشک متخصصی که خوش اخلاق باشه با ویزیت آنلاین توی اصفهان نزدیک دانشگاه پيدا کن . نوبت دهیش حداکثر تا ۷ روز آینده باشه .,"O,B-spy,O,B-srt,O,B-trt,I-trt,O,O,O,B-vtp,O,B-cty,O,B-nhd,O,O,O,O,O,B-apt,I-apt,I-apt,I-apt,I-apt,O,O"
21,یه متخصص روماتولوژی در کاشان نیاز دارم که کارش عالی باشه و برای دو هفته بعد نوبت بده .,"O,B-srt,B-spy,O,B-cty,O,O,O,O,B-trt,O,O,O,B-apt,I-apt,O,O,O,O"
22,سلام. یک روانشناس خانم در تهران برای ترک اعتیاد میخوام ,"O,O,B-spy,B-gnd,O,B-cty,O,B-cnd,I-cnd,O"
23,من یک دکتر عمومی برای گلودرد میخواستم در شهر اردبیل که دارای ویزیت مجازی باشه و با بیمه تامین اجتماعی قرارداد داشته باشه,"O,O,O,B-spy,O,B-cnd,O,O,O,B-cty,O,O,O,B-vtp,O,O,O,O,B-inc,I-inc,O,O,O"
24,توی بندر عباس دنبال یه فلوشیپ ریه میگردم که مهارت کافی در درمان عفونت های شدید داشته باشه و هفته آینده نوبت بده .,"O,B-cty,I-cty,O,O,B-srt,B-spy,O,O,B-trt,I-trt,O,O,B-cnd,I-cnd,I-cnd,O,O,O,B-apt,I-apt,O,O,O"
25,سلام ، یک متخصص تغذیه شهر علویجه معرفی کن با حوادث انفرادی قرارداد داشته باشه و برای لاغری کارش معتبر باشه .,"O,O,O,B-srt,B-spy,O,B-cty,O,O,O,B-inc,I-inc,O,O,O,O,O,B-cnd,O,B-trt,O,O"
26,دنبال یک خانم دکتر شوخ میگردم برای کمک به سردردم در شهر اصفهان به صورت آنلاین,"O,O,B-gnd,O,B-trt,O,O,O,O,B-cnd,O,O,B-cty,O,O,B-vtp"
27,سلام یک فوق تخصص اورولوژی توی شیراز ، خیابان زند ، برای درمان سنگ کلیه خانومم برام پیدا کن که در اسرع وقت ، غیر حضوری ویزیت بشم و طرف قرار داد تامین اجتماعی باشه و کمتر از نیم ساعت ویزیت بشم .,"O,O,B-srt,I-srt,B-spy,O,B-cty,O,B-nhd,I-nhd,O,O,O,B-cnd,I-cnd,O,O,O,O,O,O,B-apt,I-apt,O,B-vtp,I-vtp,O,O,O,O,O,O,B-inc,I-inc,O,O,B-wtt,I-wtt,I-wtt,I-wtt,O,O,O"
28,سلام ، توی قزوین یه متخصص تغذیه لازم دارم که برای کاهش وزن مشاوره بده و ماه آینده وقت داشته باشه .,"O,O,O,B-cty,O,B-srt,B-spy,O,O,O,O,B-cnd,I-cnd,O,O,O,B-apt,I-apt,O,O,O,O"
29,پزشک فوق تخصص اورولوژی مجرب برای عمل سنگ مثانه که در تهران باشه غیر جنوب تهران و حداکثر تا یک ماه دیگه وقت عمل داشته باشه,"O,B-srt,I-srt,B-spy,B-trt,O,B-cnd,I-cnd,I-cnd,O,O,B-cty,O,B-nhd,I-nhd,I-nhd,O,O,O,B-apt,I-apt,O,O,O,O,O"
30,سلام آدرس یک مرد چشم پزشک فوق تخصص کاربلد سمت چهارراه دانشگاه بندرعباس که برای فردا وقت بده رو میخوام واسه معاینه و نسخه واسه عینک جدید که بیمه البرز ساپورت کنه و کمتر از یک ساعت منتظرم بذاره,"O,O,O,B-gnd,B-spy,I-spy,B-srt,I-srt,B-trt,O,B-nhd,I-nhd,B-cty,O,O,B-apt,O,O,O,O,O,O,O,O,O,B-cnd,I-cnd,O,O,B-inc,O,O,O,B-wtt,I-wtt,I-wtt,I-wtt,O,O"
31,سلام یک دکتر عمومی خوش اخلاق تو محدوده احمدآباد اصفهان برای سرماخوردگی میخوام که فردا بهم نوبت بده .,"O,O,O,B-spy,B-trt,I-trt,O,O,B-nhd,B-cty,O,B-cnd,O,O,B-apt,O,O,O,O"
32,سلام ، یه دکتر فلوشیپ زنان در اردکان میخوام که تو درمان نازایی مهارت داشته باشه و ماه بعد وقت بده .,"O,O,O,O,B-srt,O,O,B-cty,O,O,O,O,B-cnd,O,O,O,O,B-apt,I-apt,O,O,O"
33,سلام . یک دکتر متخصص ارولوژی در تهران ، اطراف دانشگاه علم و صنعت پیدا کن که آدم با تجربه ای باشه .,"O,O,O,O,B-srt,B-spy,O,B-cty,O,O,B-nhd,I-nhd,I-nhd,I-nhd,O,O,O,O,B-trt,I-trt,O,O,O"
34,سلام زنم نفخ کردم یک بانوی متخصص گوارش تو گرگان پیدا کن که تجربه زیادی داشته باشه و برای سه هفته بعد نوبت بده,"O,O,B-cnd,O,O,B-gnd,B-srt,B-spy,O,B-cty,O,O,O,B-trt,I-trt,O,O,O,O,B-apt,I-apt,I-apt,O,O"
35,یه دکتر مغز و اعصاب توی ساری میخوام که در درمان صرع تخصص داشته باشه و سه روز دیگه نوبت بده .,"O,O,B-spy,O,B-spy,O,B-cty,O,O,O,O,B-cnd,O,O,O,O,B-apt,I-apt,O,O,O,O"
36,یه دکتر فوق تخصص قلب و عروق تو بوشهر لازم دارم که نوبت برای دو روز دیگه بده .,"O,O,B-srt,I-srt,B-spy,O,B-spy,O,B-cty,O,O,O,O,O,B-apt,I-apt,O,O,O"
37,سلام دنبال یه دکتر فوق تخصص ریه داخل بندر انزلی هستم که تجربه بالایی داشته باشه و فردا صبح نوبت بده .,"O,O,O,O,B-srt,I-srt,B-spy,O,B-cty,I-cty,O,O,B-trt,I-trt,O,O,O,B-apt,I-apt,O,O,O"
38,سلام . لطفا برای فردا برام از یک فوق تخصص قلب و عروق که خوش اخلاق باشه ، تو تهران خیابون ولیعصر نوبت بگیر که نوار قلب بگیره و بیمه تامین اجتماعی رو پوشش بده .,"O,O,O,O,B-apt,O,O,O,B-srt,I-srt,B-spy,I-spy,I-spy,O,B-trt,I-trt,O,O,O,B-cty,B-nhd,I-nhd,O,O,O,B-cnd,I-cnd,O,O,O,B-inc,I-inc,O,O,O,O"
39,یه متخصص غدد اردبیلی میخوام که توی خیابان امام مطب داشته باشه و سریع نوبت بده .,"O,B-srt,B-spy,B-cty,O,O,O,B-nhd,I-nhd,O,O,O,O,B-apt,O,O,O"
40,سلام یک دکتر مغز و اعصاب فوق تخصص برای میگرن ویزیت تلفنی خیلی معطل نشم و پزشک آرام شوخ طبع و مهربونی باشه . بیمه ام تامین اجتماعیه,"O,O,O,B-spy,O,B-spy,B-srt,I-srt,O,B-cnd,O,B-vtp,O,O,O,O,O,B-trt,B-trt,I-trt,O,B-trt,O,O,O,O,B-inc,I-inc"
41,سلام . یک فوق تخصص مغز و اعصاب توی لارستان فارس برای درمان میگرن برام پیدا کن که بتونم طی دو روز آینده حضوری ویزیت بشم و طرف قرار داد بانک ملی باشه و خوش برخورد و با تجربه باشه,"O,O,O,B-srt,I-srt,B-spy,O,B-spy,O,B-cty,O,O,O,B-cnd,O,O,O,O,O,O,B-apt,I-apt,I-apt,B-vtp,O,O,O,O,O,O,B-inc,I-inc,O,O,B-trt,I-trt,O,B-trt,I-trt,O"
42,سلام . می خوام که که برم پیش یک دکتر متخصص داخلی که درباره ی کبدم باهاش صحبت بکنم و ببینم که کبدم چرب هست یا نه . لطفا متخصصی در مشهد برام پیدا کن که بتونم این کار رو به صورت حضوری باهاش انجام بدم . نمی خوام که از نظر زمانی خیلی تو نوبت باشم حداکثر 2 ساعت میتونم برای این کار وقت بذارم . پزشکی که بهم پیشنهاد میدی از نظر مکانی نزدیک امامت باشه .,"O,O,O,O,O,O,O,O,O,O,B-srt,B-spy,O,O,O,B-cnd,O,O,O,O,O,O,B-cnd,I-cnd,O,O,O,O,O,B-srt,O,B-cty,O,O,O,O,O,O,O,O,O,O,B-vtp,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-wtt,I-wtt,I-wtt,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-nhd,O,O"
43,با سلام لطفاً پزشک زنان و زایمان در شیراز در خیابان صورتگر معرفی کنید که در بیمارستان دولتی لاپاروسکوپی انجام دهد . با تجربه و دارای بورد تخصصی . و بیمه سینا قبول کند,"O,O,O,O,B-spy,I-spy,I-spy,O,B-cty,O,B-nhd,I-nhd,O,O,O,O,O,O,B-cnd,O,O,O,B-trt,I-trt,O,B-trt,I-trt,I-trt,O,O,O,B-inc,O,O"
44,سلام یک دکتر زیبایی میخوام اطراف هاشمیه مشهد که برای بیمار عرب هم خدمات قبلا انجام داده باشه,"O,O,O,B-spy,O,O,B-nhd,B-cty,O,O,O,O,O,O,O,O,O,O"
45,یه دکتر زن فوق تخصص داخلی اهوازی میخوام که تو همین هفته وقت بده و معطلی کمتر از نیم ساعت داشته باشه و بیمه پارسیان رو هم بپذیره ، چون مشکلات گوارشی دارم و باید حتماً چک بشم .,"O,O,B-gnd,B-srt,I-srt,B-spy,B-cty,O,O,O,B-apt,I-apt,O,O,O,O,B-wtt,I-wtt,I-wtt,I-wtt,O,O,O,O,B-inc,O,O,O,O,O,B-cnd,I-cnd,O,O,O,O,O,O,O"
46,سلام یک دکتر جراح مغز و اعصاب تو شیراز برام پیدا کن,"O,O,O,O,B-spy,I-spy,I-spy,O,B-cty,O,O,O"
47,یک دکتر متخصص حلق و گوش و بینی خوب در اصفهان خیابان امادگاه بهم معرفی کن که بهم مشاوره برای عمل لوزه سوم بده و سابقه خوبی داشته باشه و بیمارانی که بهش مراجعه کردن ازش راضی بوده باشند .,"O,O,B-srt,B-spy,O,B-spy,O,B-spy,B-trt,O,B-cty,O,B-nhd,O,O,O,O,O,O,O,B-cnd,I-cnd,I-cnd,O,O,B-trt,I-trt,O,O,O,O,O,O,O,O,O,B-trt,O,O,O"
48,یه روانپزشک تو مشهد طرفای وکیل آباد پیدا کن که بدون اذیت راحت برام آسنترا تجویز کنه چون داروخونه بدون نسخه اینو نمیده و منم خیلی دچار افسردگی شدم هر جایی هم میرم اینو تجویز نمیکنن میگن توصیه نمیشه . ترجیحا آقا باشه,"O,B-spy,O,B-cty,O,B-nhd,I-nhd,O,O,O,B-trt,I-trt,B-trt,O,B-cnd,I-cnd,O,O,O,O,O,O,O,O,O,O,O,B-cnd,O,O,O,O,O,O,O,O,O,O,O,O,O,B-gnd,O"
49,دنبال یه پزشک اطفال خانم و با سابقه در مشهد نزدیک حرم میگردم که امروز دخترم رو ویزیت کنه,"O,O,O,B-spy,B-gnd,O,B-trt,I-trt,O,B-cty,B-nhd,I-nhd,O,O,B-apt,O,O,O,O"
50,سلام یک دکتر گوارش تو اصفهان برام پیدا کن که آندوسکوپی انجام بده و خوش اخلاق باشه,"O,O,O,B-spy,O,B-cty,O,O,O,O,B-cnd,O,O,O,B-trt,I-trt,O"
51,لطفاً یه متخصص اطفال تو خرم آباد برام پیدا کنید که تجربه کافی در درمان کودکان بیمار داشته باشه و فردا نوبت بده .,"O,O,B-srt,B-spy,O,B-cty,I-cty,O,O,O,O,B-trt,I-trt,O,O,B-cnd,I-cnd,O,O,O,B-apt,O,O,O"
52,چشمم ضعیف شده یه بینایی سنجی در کیش میخوام که تا آخر شهریور,"B-cnd,I-cnd,O,O,B-spy,I-spy,O,B-cty,O,O,O,B-apt,I-apt"
53,داخل زاهدان دنبال یک متخصص گوش و حلق و بینی می گردم که دو هفته بعد نوبت بده .,"O,B-cty,O,O,B-srt,B-spy,O,B-spy,O,B-spy,O,O,O,B-apt,I-apt,O,O,O,O"
54,سلام . یک متخصص مو داخل قم سمت پارک ملی برام پیدا کن که معاینه م کنه و مشکل ریزش مو رو حضوری کامل برام حل کنه برام و اطلاعات کافی برای نگهداری مو هام رو بهم بده و حداکثز نیم ساعت اتلاف وقت داشته باشه .,"O,O,O,B-srt,B-spy,O,B-cty,O,B-nhd,I-nhd,O,O,O,O,O,O,O,O,O,B-cnd,I-cnd,O,B-vtp,O,O,O,O,O,O,B-cnd,I-cnd,I-cnd,I-cnd,I-cnd,O,O,O,O,O,B-wtt,I-wtt,I-wtt,O,O,O,O,O"
55,با سلام لطفاً جراح زیبایی تبریزی معرفی کنید که در هفته آینده برام معاینه غیرحضوری انجام دهد,"O,O,O,O,B-spy,B-cty,O,O,O,O,B-apt,I-apt,O,O,B-vtp,O,O"
56,سلام من یک دندون پزشک خانم در کرمان به سمت بلوار پزشک میخوام که قبل 29 شهریور ارتودنسی انجام بده کمتر از یک ساعت نگهم داره,"O,O,O,B-spy,I-spy,B-gnd,O,B-cty,O,O,B-nhd,I-nhd,O,O,B-apt,I-apt,I-apt,B-cnd,O,O,B-wtt,I-wtt,I-wtt,I-wtt,O,O"
57,سلام یک دندان پزشک ارتودنسی میخوام که میزان انتظار توی مطبش کمتر از نیم ساعت باشه و شلوغ نباشه,"O,O,B-spy,I-spy,B-cnd,O,O,O,O,O,O,B-wtt,I-wtt,I-wtt,I-wtt,O,O,B-trt,I-trt"
58,سلام . یه پزشک پوست مجرب در یزد برای افتادگی پلک بالا و جای جوش پیدا کن,"O,O,O,O,B-spy,B-trt,O,B-cty,O,B-cnd,I-cnd,O,O,B-cnd,I-cnd,O,O"
59,سلام برای کیست در گردن در اسرع وقت یک دکتر تو شیراز برام پیدا کن که بیمه ندای ایرانیان قبول کنه,"O,O,B-cnd,I-cnd,I-cnd,O,B-apt,I-apt,O,O,O,B-cty,O,O,O,O,O,B-inc,I-inc,O,O"
60,توی سنندج دنبال یه فلوشیپ ریه میگردم که مهارت کافی در درمان عفونتهای شدید داشته باشه و هفته آینده نوبت بده .,"O,B-cty,O,O,B-srt,B-spy,O,O,B-trt,I-trt,O,O,B-cnd,I-cnd,O,O,O,B-apt,I-apt,O,O,O"
61,نیاز به یه فوق متخصص پوست و مو توی کرمان دارم که توی خیابان مطهری مطب داشته باشه و فردا عصر نوبت بده .,"O,O,O,B-srt,I-srt,B-spy,O,B-spy,O,B-cty,O,O,O,B-nhd,I-nhd,O,O,O,O,B-apt,I-apt,O,O,O"
62,سلام . لطفا یک ارتوپد آقا تو لار تو سی متری هلال احمر برام پیدا کن که ریپورت ام‌ آر آی من رو تفسیر کنه و خوش اخلاق باشه,"O,O,O,O,B-spy,B-gnd,O,B-cty,O,B-nhd,I-nhd,I-nhd,I-nhd,O,O,O,O,B-cnd,I-cnd,I-cnd,I-cnd,O,O,I-cnd,O,O,B-trt,I-trt,O"
63,سلام یک متخصص گوارش تو اصفهان سمت هزارجریب پیدا کن که باحوصله باشه و برای هفته دیگه نوبت بده,"O,O,B-srt,B-spy,O,B-cty,O,B-nhd,O,O,O,B-trt,O,O,O,B-apt,I-apt,O,O"
64,سلام . واسه التهاب پروستات یک ارولوژیست در تهرانپارس پیدا کن که آدم با تجربه ای باشه .,"O,O,O,B-cnd,I-cnd,O,B-spy,O,B-nhd,O,O,O,O,B-trt,I-trt,O,O,O"
65,سلام یک دکتر فوق تخصص زنان خانوم تو اصفهان سمت چهارباغ بالا میخوام که کارش خوب باشه و اکثرا ازش راضی بوده باشن و برای فردا بهم نوبت بده و تایم انتظار توی مطب کمتر از نیم ساعت باشه,"O,O,O,B-srt,I-srt,B-spy,B-gnd,O,B-cty,O,B-nhd,I-nhd,O,O,O,B-trt,O,O,O,O,B-trt,O,O,O,O,B-apt,O,O,O,O,O,O,O,O,B-wtt,I-wtt,I-wtt,I-wtt,O"
66,سلام ، یک دندانپزشک تو شیراز سمت فرگاز برام پیدا کن که جرم گیری کنم و اولین نوبت آزاد فردا باشه و زیاد معطل نشم و خوش اخلاق باشه,"O,O,O,B-spy,O,B-cty,O,B-nhd,O,O,O,O,B-cnd,I-cnd,O,O,O,O,O,B-apt,O,O,B-wtt,I-wtt,I-wtt,O,B-trt,I-trt,O"
67,تو بجنورد دنبال یه متخصص زنان هستم که برای بارداری مشاوره بده و نوبت برای هفته آینده داشته باشه .,"O,B-cty,O,O,B-srt,B-spy,O,O,O,B-cnd,O,O,O,O,O,B-apt,I-apt,O,O,O"
68,نیاز به یک پزشک عمومی آقا در اردبیل دارم که در اسرع وقت ویزیت مجازی انجام دهد و بیمه نیرو مسلح را هم بپذیرد ، زیرا به تازگی با مشکل فشار خون بالا مواجه شده ام .,"O,O,O,O,B-spy,B-gnd,O,B-cty,O,O,B-apt,I-apt,I-apt,O,B-vtp,O,O,O,O,B-inc,I-inc,O,O,O,O,O,O,O,O,O,B-cnd,I-cnd,I-cnd,O,O,O,O"
69,یه دکتر چشم پزشک تو یزد می خوام که تجربه زیادی در جراحی چشم داشته باشه و برای آخر هفته نوبت بده .,"O,O,B-spy,O,O,B-cty,O,O,O,B-trt,I-trt,O,B-cnd,I-cnd,O,O,O,O,B-apt,I-apt,O,O,O"
70,توی زنجان دنبال یک متخصص ارتوپدی می گردم که تجربه زیادی داشته باشه و نوبت برای آخر هفته بده .,"O,B-cty,O,O,B-srt,B-spy,O,O,O,B-trt,I-trt,O,O,O,O,O,B-apt,I-apt,O,O"
71,سلام . یک دندون پزشک اصفهانی سمت چهارباغ عباسی برام پیدا کن که کامپوزیت برای از بین بردن فاصله بین دندان ها انجام بده و اولین نوبت آزاد فردا ویزیت حضوری بشم و کمتر از یک ساعت معطل شم و خوش اخلاق و با حوصله باشه,"O,O,O,B-spy,I-spy,B-cty,O,B-nhd,I-nhd,O,O,O,O,B-cnd,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-apt,O,B-vtp,O,O,B-wtt,I-wtt,I-wtt,I-wtt,O,O,O,B-trt,I-trt,O,B-trt,I-trt,O"
72,سلام یک روان پزشک خانوم تو یزد برام پیدا کن که توانمند باشه و با حوصله باشه,"O,O,B-spy,I-spy,B-gnd,O,B-cty,O,O,O,O,B-trt,O,O,B-trt,I-trt,O"
73,سلام ، من زیاد خرو پف میکنم یک دکتر متخصص در اصفهان محله دولت آباد برخوار ترجیحا خانم و به صورت حضوری و بیمه خدمات درمانی و خوش اخلاق میخواهم,"O,O,O,O,B-cnd,I-cnd,O,O,O,B-srt,O,B-cty,O,B-nhd,I-nhd,I-nhd,O,B-gnd,O,O,O,B-vtp,O,O,B-inc,I-inc,O,B-trt,I-trt,O"
74,سلام یه دکتر متخصص سمت سینما سعدی شیراز واسه معده درد بهم معرفی کن که تا فردا بهم نوبت بده و طرف قرارداد بیمه بانک ملی باشه . ترجیحا بیشتر از یک ساعت تو مطب معطل نشم,"O,O,O,B-srt,O,B-nhd,I-nhd,B-cty,O,B-cnd,I-cnd,O,O,O,O,O,B-apt,O,O,O,O,O,O,O,B-inc,I-inc,O,O,O,B-wtt,I-wtt,I-wtt,I-wtt,O,O,O,O"
75,سلام یک چشم پزشک خانم در بندرعباس به سمت چهار راه مرادی میخوام که خوش اخلاق و شوخ باشد,"O,O,B-spy,I-spy,B-gnd,O,B-cty,O,O,B-nhd,I-nhd,I-nhd,O,O,B-trt,I-trt,O,B-trt,O"
76,یه جراح قلب خوزستانی بامرام میخوام,"O,O,B-spy,B-cty,B-trt,O"
77,سلام درد کتف دارم توی مشهد محله باهنر یک پزشک ارتوپد مذکر که دکتری تخصصی داشته باشه و مطبش 8 صبح بهم آنلاین نوبت بده و کمتر از ده دقیقه معطلی داشته باشم پیدا کن . بیمه پاسارگاد قبول کنه و دقیق باشه,"O,B-cnd,I-cnd,O,O,B-cty,O,B-nhd,O,O,B-spy,B-gnd,O,O,B-srt,O,O,O,O,B-apt,I-apt,O,B-vtp,O,O,O,B-wtt,I-wtt,I-wtt,I-wtt,O,O,O,O,O,O,O,B-inc,O,O,O,B-trt,O"
78,سلام . من یه خانم دکتر مهربان برای دندان پزشکی کودکان میخوام که بیمه سلامت رو قبول کنه و زمان انتظار توی مطبش کمتر از یک ساعت باشه,"O,O,O,O,B-gnd,O,B-trt,O,B-spy,I-spy,I-spy,O,O,O,B-inc,O,O,O,O,O,O,O,O,B-wtt,I-wtt,I-wtt,I-wtt,O"
79,سلام ، یک پزشک عمومی تو یاسوج معرفی کن برای حساسیت فصلی,"O,O,O,O,B-spy,O,B-cty,O,O,O,B-cnd,I-cnd"
80,سلام یک چشم پزشک خوب تو شیراز سمت ارم پیدا کن که کار لیزر انجام بده و خوش اخلاق باشه ,"O,O,B-spy,I-spy,B-trt,O,B-cty,O,B-nhd,O,O,O,O,B-cnd,O,O,O,B-trt,I-trt,O"
81,سلام یک دکتر مرد فوق تخصص اطفال خوش رو و صبور در مشهد پیدا کن که امروز منو حضوری ویزیت کنه بیشتر از 20 دقیقه معطلم نکنه و با بیمه درمان تکمیلی قرارداد داشته باشه .,"O,O,O,B-gnd,B-srt,I-srt,B-spy,B-trt,I-trt,O,B-trt,O,B-cty,O,O,O,B-apt,O,B-vtp,O,O,O,O,B-wtt,I-wtt,O,O,O,O,O,B-inc,I-inc,O,O,O,O"
