sentence,label
یک متخصص برای چشم در سنندج سراغ دارید ؟,"O,O,O,O,O,B-cit,O,O,O"
لطفاً یک دکتر مرد برای درمان گوارش در مشهد یا اردبیل معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
به یک دکتر خوب برای سرطان نیاز دارم .,"O,O,O,O,O,O,O,O,O"
من دنبال یک دکتر زن برای روماتیسم در ساری می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,O,O,O"
کسی متخصص دیابت در اردبیل رو می شناسه ؟,"O,O,O,O,B-cit,O,O,O,O"
کسی می تونه یک دکتر خانم برای دیابت در زنجان معرفی کنه ؟,"O,O,O,O,O,B-gen,O,O,O,B-cit,O,O,O"
یک متخصص برای مشکلات قلبی در رشت سراغ دارید ؟,"O,O,O,O,O,O,B-cit,O,O,O"
یک دکتر برای کودکان در زنجان معرفی می کنید ؟,"O,O,O,O,O,B-cit,O,O,O,O"
لطفاً یک دکتر زن برای درمان افسردگی در قم معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,O,O"
من دنبال یک دکتر زن برای دیابت در اراک یا خرم آباد می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,O,B-cit,I-cit,O,O,O"
آیا دکتری مرد در ساری برای پوست می شناسید ؟,"O,O,B-gen,O,B-cit,O,O,O,O,O"
به نظر شما دکتر خانم برای روانپزشکی در شیراز بهتر است یا خرم آباد ؟,"O,O,O,O,B-gen,O,O,O,B-cit,O,O,O,B-cit,B-cit,O"
بهترین دکتر مرد برای اعصاب در ارومیه یا شیراز کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O"
آیا دکتری خانم در خرم آباد برای ارتوپد می شناسید ؟,"O,O,B-gen,O,B-cit,I-cit,O,O,O,O,O"
یک دکتر برای چشم در قم معرفی می کنید ؟,"O,O,O,O,O,B-cit,O,O,O,O"
کسی متخصص افسردگی در کرمانشاه رو می شناسه ؟,"O,O,O,O,B-cit,O,O,O,O"
لطفاً یک دکتر مرد برای درمان روانپزشکی در خرم آباد یا زنجان معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,I-cit,O,B-cit,O,O,O"
آیا می توانید یک دکتر برای چشم معرفی کنید ؟,"O,O,O,O,O,O,O,O,O,O"
بهترین دکتر زن برای چشم در زنجان یا بوشهر کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O"
یک دکتر خانم خوب برای روانپزشکی در تبریز سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,O,O"
کسی متخصص زنان در بوشهر رو می شناسه ؟,"O,O,B-gen,O,B-cit,O,O,O,O"
کسی یک دکتر خانم برای چشم در کرمانشاه می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,O,O"
من دنبال یک دکتر خانم برای اعصاب در خرم آباد یا کرمانشاه می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,I-cit,O,B-cit,O,O,O"
من به یک دکتر برای درمان زنان نیاز دارم .,"O,O,O,O,O,O,B-gen,O,O,O"
کسی یک دکتر زن برای روانپزشکی در ساری یا مشهد می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
یک دکتر خانم خوب برای چشم در ارومیه یا تهران سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
به یک دکتر زن در زنجان برای درمان اعصاب نیاز دارم .,"O,O,O,B-gen,O,B-cit,O,O,O,O,O,O"
به یک دکتر خانم در ارومیه برای درمان اعصاب نیاز دارم .,"O,O,O,B-gen,O,B-cit,O,O,O,O,O,O"
بهترین دکتر خانم در اردبیل برای افسردگی چه کسی است ?,"O,O,B-gen,O,B-cit,O,O,O,O,O,O"
بهترین دکتر خانم در قم برای اعصاب چه کسی است ?,"O,O,B-gen,O,B-cit,O,O,O,O,O,O"
به یک دکتر خوب برای سرطان نیاز دارم .,"O,O,O,O,O,O,O,O,O"
بهترین دکتر زن برای اعصاب در تبریز کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,O"
بهترین دکتر برای کودکان در رشت کیه ؟,"O,O,O,O,O,B-cit,O,O"
یک دکتر مرد خوب برای چشم در تهران سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,O,O"
یک دکتر خانم خوب برای کودکان در اراک سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,O,O"
بهترین دکتر مرد در بوشهر برای ارتوپد چه کسی است ?,"O,O,B-gen,O,B-cit,O,O,O,O,O,O"
به یک دکتر خوب برای سرطان نیاز دارم .,"O,O,O,O,O,O,O,O,O"
یک دکتر زن خوب برای ارتوپد در سنندج سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,O,O"
به یک دکتر زن در زنجان برای درمان گوش و حلق و بینی نیاز دارم .,"O,O,O,B-gen,O,B-cit,O,O,O,O,O,O,O,O,O,O"
بهترین دکتر زن در ارومیه برای ارتوپد چه کسی است ?,"O,O,B-gen,O,B-cit,O,O,O,O,O,O"
دنبال دکتر خوبی برای روماتیسم می گردم .,"O,O,O,O,O,O,O,O"
من دنبال یک دکتر مرد برای ارتوپد در زنجان یا یزد می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
دنبال دکتر خوبی برای گوش و حلق و بینی می گردم .,"O,O,O,O,O,O,O,O,O,O,O,O"
بهترین دکتر مرد در قم برای روانپزشکی چه کسی است ?,"O,O,B-gen,O,B-cit,O,O,O,O,O,O"
بهترین دکتر خانم برای چشم در مشهد کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,O"
به نظر شما دکتر زن برای آسم در قم بهتر است یا کرج ؟,"O,O,O,O,B-gen,O,O,O,B-cit,O,O,O,B-cit,O"
کسی دکتری برای پوست در اصفهان می شناسه ؟,"O,O,O,O,O,B-cit,O,O,O"
بهترین دکتر برای روانپزشکی در سنندج کیه ؟,"O,O,O,O,O,B-cit,O,O"
آیا می توانید یک دکتر برای سرطان معرفی کنید ؟,"O,O,O,O,O,O,O,O,O,O"
کسی می تونه یک دکتر زن برای سرطان در کرج معرفی کنه ؟,"O,O,O,O,O,B-gen,O,O,O,B-cit,O,O,O"
بهترین دکتر زن برای کودکان در مشهد یا اراک کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O"
من دنبال یک دکتر مرد برای سرطان در رشت یا قم می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
کسی می تونه یک دکتر مرد برای آسم در رشت معرفی کنه ؟,"O,O,O,O,O,B-gen,O,O,O,B-cit,O,O,O"
به یک دکتر خوب برای پوست نیاز دارم .,"O,O,O,O,O,O,O,O,O"
بهترین دکتر مرد برای کودکان در اردبیل یا اراک کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O"
کسی یک دکتر زن برای سرطان در ارومیه می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,O,O"
لطفاً یک دکتر زن برای درمان دیابت در اراک یا قم معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
کسی یک دکتر مرد برای زنان در بوشهر یا ساری می شناسه ؟,"O,O,O,B-gen,O,B-gen,O,B-cit,O,B-cit,O,O,O"
یک متخصص برای گوش و حلق و بینی در ارومیه سراغ دارید ؟,"O,O,O,O,O,O,O,O,O,B-cit,O,O,O"
دنبال یک دکتر زن متخصص مشکلات قلبی در یزد هستم .,"O,O,O,B-gen,O,O,O,O,B-cit,O,O"
دنبال یک دکتر زن متخصص دیابت در شیراز هستم .,"O,O,O,B-gen,O,O,O,B-cit,O,O"
لطفاً یک متخصص آسم معرفی کنید .,"O,O,O,O,O,O,O"
کسی یک دکتر زن برای سرطان در اصفهان یا قم می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
دنبال یک دکتر زن متخصص کودکان در شیراز هستم .,"O,O,O,B-gen,O,O,O,B-cit,O,O"
یک دکتر مرد خوب برای چشم در قم یا یزد سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
کسی یک دکتر زن برای روانپزشکی در اصفهان می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,O,O"
یک دکتر مرد خوب برای سرطان در سنندج سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,O,O"
من دنبال یک دکتر خانم برای روماتیسم در کرمانشاه می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,O,O,O"
کسی یک دکتر خانم برای گوش و حلق و بینی در بوشهر یا تبریز می شناسه ؟,"O,O,O,B-gen,O,O,O,O,O,O,O,B-cit,O,B-cit,O,O,O"
یک دکتر خانم خوب برای آسم در زنجان سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,O,O"
آیا می توانید یک دکتر برای مشکلات قلبی معرفی کنید ؟,"O,O,O,O,O,O,O,O,O,O,O"
لطفاً یک متخصص مشکلات قلبی معرفی کنید .,"O,O,O,O,O,O,O,O"
دنبال دکتر خوبی برای مشکلات قلبی می گردم .,"O,O,O,O,O,O,O,O,O"
کسی یک دکتر خانم برای چشم در شیراز یا یزد می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
من دنبال یک دکتر خانم برای پوست در بوشهر یا مشهد می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
یک دکتر برای سرطان در تهران معرفی می کنید ؟,"O,O,O,O,O,B-cit,O,O,O,O"
به یک دکتر خوب برای پوست نیاز دارم .,"O,O,O,O,O,O,O,O,O"
یک دکتر برای ارتوپد در ارومیه معرفی می کنید ؟,"O,O,O,O,O,B-cit,O,O,O,O"
لطفاً یک دکتر مرد برای درمان چشم در بوشهر معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,O,O"
کسی یک دکتر زن برای سرطان در تبریز می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,O,O"
بهترین دکتر برای سرطان در زنجان کیه ؟,"O,O,O,O,O,B-cit,O,O"
من به یک دکتر برای درمان اعصاب نیاز دارم .,"O,O,O,O,O,O,O,O,O,O"
کسی دکتری برای افسردگی در اردبیل می شناسه ؟,"O,O,O,O,O,B-cit,O,O,O"
بهترین دکتر زن برای کودکان در اهواز کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,O"
کسی دکتری برای اعصاب در اصفهان می شناسه ؟,"O,O,O,O,O,B-cit,O,O,O"
لطفاً یک دکتر زن برای درمان کودکان در خرم آباد معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,I-cit,O,O,O"
لطفاً یک متخصص افسردگی معرفی کنید .,"O,O,O,O,O,O,O"
لطفاً یک دکتر زن برای درمان زنان در اهواز یا ساری معرفی کنید .,"O,O,O,B-gen,O,O,B-gen,O,B-cit,O,B-cit,O,O,O"
آیا دکتری مرد در مشهد برای روماتیسم می شناسید ؟,"O,O,B-gen,O,B-cit,O,O,O,O,O"
یک دکتر خانم خوب برای زنان در ساری سراغ دارید ؟,"O,O,B-gen,O,O,B-gen,O,B-cit,O,O,O"
به یک دکتر خانم در بوشهر برای درمان کودکان نیاز دارم .,"O,O,O,B-gen,O,B-cit,O,O,O,O,O,O"
دنبال یک دکتر زن متخصص ارتوپد در بوشهر هستم .,"O,O,O,B-gen,O,O,O,B-cit,O,O"
کسی دکتری برای گوش و حلق و بینی در ارومیه می شناسه ؟,"O,O,O,O,O,O,O,O,O,B-cit,O,O,O"
من به یک دکتر برای درمان کودکان نیاز دارم .,"O,O,O,O,O,O,O,O,O,O"
یک متخصص برای زنان در اراک سراغ دارید ؟,"O,O,O,B-gen,O,B-cit,O,O,O"
به یک دکتر مرد در یزد برای درمان روانپزشکی نیاز دارم .,"O,O,O,B-gen,O,B-cit,O,O,O,O,O,O"
آیا می توانید یک دکتر برای پوست معرفی کنید ؟,"O,O,O,O,O,O,O,O,O,O"
کسی یک دکتر مرد برای آسم در تهران می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,O,O"
یک دکتر خانم خوب برای اعصاب در ارومیه سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,O,O"
بهترین دکتر برای مشکلات قلبی در مشهد کیه ؟,"O,O,O,O,O,O,B-cit,O,O"
بهترین دکتر خانم برای چشم در ساری کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,O"
من دنبال یک دکتر مرد برای دیابت در کرج یا اراک می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
دنبال دکتر خوبی برای کودکان می گردم .,"O,O,O,O,O,O,O,O"
کسی متخصص کودکان در شیراز رو می شناسه ؟,"O,O,O,O,B-cit,O,O,O,O"
کسی یک دکتر زن برای آسم در تهران یا اراک می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
کسی یک دکتر خانم برای آسم در همدان می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,O,O"
یک دکتر برای گوارش در قم معرفی می کنید ؟,"O,O,O,O,O,B-cit,O,O,O,O"
یک متخصص برای زنان در زنجان سراغ دارید ؟,"O,O,O,B-gen,O,B-cit,O,O,O"
بهترین دکتر برای مشکلات قلبی در سنندج کیه ؟,"O,O,O,O,O,O,B-cit,O,O"
بهترین دکتر مرد برای سرطان در همدان کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,O"
لطفاً یک متخصص گوش و حلق و بینی معرفی کنید .,"O,O,O,O,O,O,O,O,O,O,O"
کسی یک دکتر زن برای زنان در ساری یا بوشهر می شناسه ؟,"O,O,O,B-gen,O,B-gen,O,B-cit,O,B-cit,O,O,O"
لطفاً یک متخصص روانپزشکی معرفی کنید .,"O,O,O,O,O,O,O"
لطفاً یک دکتر خانم برای درمان پوست در ساری معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,O,O"
دنبال یک دکتر مرد متخصص گوش و حلق و بینی در اهواز هستم .,"O,O,O,B-gen,O,O,O,O,O,O,O,B-cit,O,O"
کسی متخصص اعصاب در بوشهر رو می شناسه ؟,"O,O,O,O,B-cit,O,O,O,O"
کسی دکتری برای کودکان در سنندج می شناسه ؟,"O,O,O,O,O,B-cit,O,O,O"
بهترین دکتر زن برای مشکلات قلبی در زنجان یا خرم آباد کیه ؟,"O,O,B-gen,O,O,O,O,B-cit,O,B-cit,I-cit,O,O"
بهترین دکتر برای افسردگی در بوشهر کیه ؟,"O,O,O,O,O,B-cit,O,O"
لطفاً یک دکتر خانم برای درمان گوش و حلق و بینی در اراک یا ارومیه معرفی کنید .,"O,O,O,B-gen,O,O,O,O,O,O,O,O,B-cit,O,B-cit,O,O,O"
لطفاً یک دکتر خانم برای درمان روماتیسم در سنندج یا اراک معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
آیا می توانید یک دکتر برای گوارش معرفی کنید ؟,"O,O,O,O,O,O,O,O,O,O"
یک دکتر خانم خوب برای مشکلات قلبی در ساری سراغ دارید ؟,"O,O,B-gen,O,O,O,O,O,B-cit,O,O,O"
بهترین دکتر مرد برای گوارش در زنجان کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,O"
کسی متخصص افسردگی در کرمانشاه رو می شناسه ؟,"O,O,O,O,B-cit,O,O,O,O"
به یک دکتر خوب برای چشم نیاز دارم .,"O,O,O,O,O,O,O,O,O"
کسی متخصص آسم در اصفهان رو می شناسه ؟,"O,O,O,O,B-cit,O,O,O,O"
به یک دکتر زن در خرم آباد برای درمان پوست نیاز دارم .,"O,O,O,B-gen,O,B-cit,I-cit,O,O,O,O,O,O"
دنبال یک دکتر زن متخصص روانپزشکی در ارومیه هستم .,"O,O,O,B-gen,O,O,O,B-cit,O,O"
کسی دکتری برای روماتیسم در قم می شناسه ؟,"O,O,O,O,O,B-cit,O,O,O"
کسی یک دکتر زن برای زنان در اردبیل یا ارومیه می شناسه ؟,"O,O,O,B-gen,O,B-gen,O,B-cit,O,B-cit,O,O,O"
کسی می تونه یک دکتر خانم برای پوست در همدان معرفی کنه ؟,"O,O,O,O,O,B-gen,O,O,O,B-cit,O,O,O"
به یک دکتر زن در رشت برای درمان مشکلات قلبی نیاز دارم .,"O,O,O,B-gen,O,B-cit,O,O,O,O,O,O,O"
لطفاً یک دکتر زن برای درمان دیابت در همدان معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,O,O"
من دنبال یک دکتر زن برای روانپزشکی در قم یا ارومیه می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
به نظر شما دکتر زن برای سرطان در کرج بهتر است یا قم ؟,"O,O,O,O,B-gen,O,O,O,B-cit,O,O,O,B-cit,O"
کسی یک دکتر مرد برای زنان در اهواز یا تهران می شناسه ؟,"O,O,O,B-gen,O,B-gen,O,B-cit,O,B-cit,O,O,O"
لطفاً یک دکتر زن برای درمان روانپزشکی در سنندج معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,O,O"
به یک دکتر زن در مشهد برای درمان افسردگی نیاز دارم .,"O,O,O,B-gen,O,B-cit,O,O,O,O,O,O"
به یک دکتر زن در اصفهان برای درمان اعصاب نیاز دارم .,"O,O,O,B-gen,O,B-cit,O,O,O,O,O,O"
کسی یک دکتر خانم برای روانپزشکی در اصفهان یا ارومیه می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
لطفاً یک دکتر خانم برای درمان کودکان در ارومیه معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,O,O"
یک متخصص برای ارتوپد در شیراز سراغ دارید ؟,"O,O,O,O,O,B-cit,O,O,O"
یک متخصص برای آسم در تهران سراغ دارید ؟,"O,O,O,O,O,B-cit,O,O,O"
بهترین دکتر برای مشکلات قلبی در زنجان کیه ؟,"O,O,O,O,O,O,B-cit,O,O"
یک دکتر مرد خوب برای پوست در اراک سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,O,O"
لطفاً یک متخصص اعصاب معرفی کنید .,"O,O,O,O,O,O,O"
آیا می توانید یک دکتر برای افسردگی معرفی کنید ؟,"O,O,O,O,O,O,O,O,O,O"
من دنبال یک دکتر خانم برای آسم در کرج می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,O,O,O"
به نظر شما دکتر مرد برای اعصاب در رشت بهتر است یا کرج ؟,"O,O,O,O,B-gen,O,O,O,B-cit,O,O,O,B-cit,O"
بهترین دکتر برای گوارش در ارومیه کیه ؟,"O,O,O,O,O,B-cit,O,O"
یک دکتر مرد خوب برای روانپزشکی در قم یا شیراز سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
به یک دکتر خوب برای اعصاب نیاز دارم .,"O,O,O,O,O,O,O,O,O"
یک دکتر زن خوب برای گوارش در خرم آباد سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,I-cit,O,O,O"
لطفاً یک دکتر زن برای درمان روانپزشکی در همدان معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,O,O"
من دنبال یک دکتر زن برای گوش و حلق و بینی در رشت یا خرم آباد می گردم .,"O,O,O,O,B-gen,O,O,O,O,O,O,O,B-cit,O,B-cit,I-cit,O,O,O"
